==============================================================================
CORE slugs WITHOUT a live node file (1) — candidates to BUILD if load-bearing:
  the-twins
==============================================================================

INTERNAL EDGES (both endpoints in core): 218 unique
==============================================================================
  battle-in-the-whispering-wood  [ENABLES]  battle-of-the-camps  | tier-2
  [ IN] SPOUSE_OF            walda-frey-daughter-of-merrett             | 2 | None
  [OUT] AGENT_IN             red-wedding-conspiracy                     | 1 | asos-catelyn-07
  [OUT] RULES                harrenhal                                  | tier-1 | acok-arya-09

--- robett-glover  (16 edges) ---
  [OUT] ALLIES_WITH          wyman-manderly                             | 1 | adwd-davos-02
  [OUT] RESPECTS             arya-stark                                 | 1 | acok-arya-09
  [ IN] RESENTS              robb-stark                                 | 1 | asos-catelyn-06
  [ IN] VIOLATES_GUEST_RIGHT vargo-hoat                                 | 1 | acok-arya-09
  [OUT] VICTIM_IN            ser-amory-receives-the-prisoners           | 1 | ACOK Arya IX
  [OUT] VICTIM_IN            prisoners-freed                            | 1 | ACOK Arya IX
  [OUT] PARENT_OF            erena-glover                               | 2 | None
  [OUT] PARENT_OF            gawen-glover                               | 2 | None
  [OUT] HEIR_TO              house-glover                               | 2 | None
  [OUT] HEIR_TO              master-of-deepwood-motte                   | 2 | None
  [OUT] SWORN_TO             house-glover                               | 2 | None
  [OUT] CULTURE_OF           northmen                                   | 2 | None
  [OUT] BORN_AT              deepwood-motte                             | 2 | None
  [OUT] SPOUSE_OF            sybelle-glover                             | 2 | None
  [OUT] AGENT_IN             grand-northern-conspiracy                  | 1 | adwd-davos-04
  [ IN] CONSPIRES_WITH       wyman-manderly                             | 1 | adwd-davos-04

--- helman-tallhart  (8 edges) ---
  [OUT] PARENT_OF            benfred-tallhart                           | 2 | None
  [OUT] PARENT_OF            eddara-tallhart                            | 2 | None
  [OUT] HOLDS_TITLE          ser                                        | 2 | None
  [OUT] HOLDS_TITLE          master-of-torrhens-square                  | 2 | None
  [OUT] SWORN_TO             house-tallhart                             | 2 | None
  [OUT] CULTURE_OF           northmen                                   | 2 | None
  [OUT] BORN_AT              torrhens-square                            | 2 | None
  [OUT] DIED_AT              duskendale                                 | 2 | None

--- sybell-spicer  (15 edges) ---
  [OUT] FEARS                grey-wind                                  | 1 | asos-catelyn-02
  [ IN] HATES                jaime-lannister                            | 1 | affc-jaime-07
  [OUT] COMMANDS             jeyne-westerling                           | 1 | affc-jaime-07
  [OUT] CONSPIRES_WITH       tywin-lannister                            | 1 | affc-jaime-07
  [OUT] GUEST_OF             jaime-lannister                            | 1 | affc-jaime-07
  [OUT] PARENT_OF            eleyna-westerling                          | 2 | None
  [ IN] SPOUSE_OF            gawen-westerling                           | 2 | None
  [OUT] HEIR_TO              house-spicer                               | 2 | None
  [OUT] PARENT_OF            jeyne-westerling                           | 2 | None
  [OUT] PARENT_OF            raynald-westerling                         | 2 | None
  [OUT] PARENT_OF            rollam-westerling                          | 2 | None
  [OUT] SWORN_TO             house-spicer                               | 2 | None
  [OUT] SWORN_TO             house-westerling                           | 2 | None
  [OUT] CULTURE_OF           westermen                                  | 2 | None
  [OUT] BORN_AT              westerlands                                | 2 | None

--- rolph-spicer  (12 edges) ---
  [ IN] OPPOSES              grey-wind                                  | 1 | asos-catelyn-02
  [OUT] RULES                castamere                                  | 2 | None
  [OUT] RULES                house-spicer                               | 2 | None
  [OUT] FOUNDED              house-spicer                               | 2 | None
  [OUT] HOLDS_TITLE          ser                                        | 2 | None
  [OUT] HOLDS_TITLE          castellan                                  | 2 | None
  [OUT] HOLDS_TITLE          lord-of-castamere                          | 2 | None
  [OUT] SWORN_TO             house-spicer                               | 2 | None
  [OUT] SWORN_TO             house-westerling                           | 2 | None
  [OUT] CULTURE_OF           westermen                                  | 2 | None
  [OUT] BORN_AT              westerlands                                | 2 | None
  [OUT] COMMANDS_IN          storming-of-the-crag                       | tier-1 | asos-catelyn-02

--- jeyne-westerling  (22 edges) ---
  [ IN] LOVES                robb-stark                                 | 1 | asos-catelyn-02
  [ IN] TUTORS               catelyn-stark                              | 1 | asos-catelyn-03
  [OUT] SEEKS                catelyn-stark                              | 1 | asos-catelyn-03
  [OUT] MOURNS               robb-stark                                 | 1 | affc-jaime-07
  [ IN] COMMANDS             sybell-spicer                              | 1 | affc-jaime-07
  [OUT] FEARS                grey-wind                                  | 1 | asos-catelyn-02
  [OUT] SPOUSE_OF            robb-stark                                 | 1 | asos-catelyn-03
  [ IN] SPOUSE_OF            robb-stark                                 | 1 | asos-catelyn-05
  [OUT] GUEST_OF             catelyn-stark                              | 1 | asos-catelyn-02
  [OUT] GUEST_OF             jaime-lannister                            | 1 | affc-jaime-07
  [ IN] SPOUSE_OF            alyn-tarbeck                               | 2 | None
  [ IN] PARENT_OF            gawen-westerling                           | 2 | None
  [OUT] HOLDS_TITLE          queen                                      | 2 | None
  [OUT] SWORN_TO             house-westerling                           | 2 | None
  [OUT] SWORN_TO             house-stark                                | 2 | None
  [OUT] CULTURE_OF           westermen                                  | 2 | None
  [OUT] BORN_AT              crag                                       | 2 | None
  [ IN] PARENT_OF            sybell-spicer                              | 2 | None
  [OUT] PARENT_OF            lord-tarbeck-son-of-alyn                   | 2 | None
  [OUT] PARTICIPATES_IN      siege-of-riverrun                          | 1 | affc-jaime-07
  [OUT] AGENT_IN             robb-weds-jeyne-westerling                 | 1 | asos-catelyn-02
  [OUT] HEALS                robb-stark                                 | tier-1 | asos-catelyn-02

--- raynald-westerling  (9 edges) ---
  [ IN] PROTECTS             robb-stark                                 | 1 | asos-catelyn-06
  [ IN] PARENT_OF            gawen-westerling                           | 2 | None
  [OUT] HEIR_TO              lord-of-the-crag                           | 2 | None
  [OUT] HOLDS_TITLE          ser                                        | 2 | None
  [OUT] SWORN_TO             house-westerling                           | 2 | None
  [OUT] CULTURE_OF           westermen                                  | 2 | None
  [OUT] BORN_AT              crag                                       | 2 | None
  [OUT] DIED_AT              twins                                      | 2 | None
  [ IN] PARENT_OF            sybell-spicer                              | 2 | None

--- lord-of-castamere  (7 edges) ---
  [ IN] HOLDS_TITLE          house-reyne                                | 2 | None
  [ IN] HOLDS_TITLE          house-spicer                               | 2 | None
  [ IN] HOLDS_TITLE          lord-reyne                                 | 2 | None
  [OUT] REGION_OF            westerlands                                | 2 | None
  [ IN] HOLDS_TITLE          robert-reyne                               | 2 | None
  [ IN] HOLDS_TITLE          roger-reyne                                | 2 | None
  [ IN] HOLDS_TITLE          rolph-spicer                               | 2 | None

--- castamere  (8 edges) ---
  [ IN] RULES                rolph-spicer                               | 2 | None
  [OUT] RELIGION_OF          faith-of-the-seven                         | 2 | None
  [ IN] BORN_AT              ellyn-reyne                                | 2 | None
  [OUT] SEAT_OF              house-reyne                                | 2 | None
  [OUT] SEAT_OF              house-spicer                               | 2 | None
  [ IN] DIED_AT              reynard-reyne                              | 2 | None
  [ IN] BORN_AT              robb-reyne                                 | 2 | None
  [ IN] DIED_AT              roger-reyne                                | 2 | None
