[L750] | open | food | asos | asos-jon-06.md:19 | Mole's Town stable boys give the feverish Jon a skin of wine and half a loaf of brown bread — last food before he reaches Castle Black to warn them. | S153 castle-black |
[L873] | open | food | affc | affc-the-prophet-01.md:185 | Aeron breaks his fast on a broth of clams and seaweed cooked above a driftwood fire — the Damphair's austere ironborn breakfast. | S157 euron |
[L874] | open | food | affc | affc-the-prophet-01.md:47 | Aeron drinks seawater from a leather skin as ritual sustenance (the Drowned God's blessing). | S157 euron |
[L875] | open | food | affc | affc-the-iron-captain-01.md:73 | Victarion's pre-kingsmoot feast: roast kid, salted cod, and lobster; Aeron eats fish and drinks water while the captains 'quaffed enough ale to float the Iron Fleet'. | S157 euron |
[L876] | open | food | affc | affc-the-iron-captain-01.md:71 | Two Sparrs press a wineskin into Victarion's hands on the strand; he drinks deep — welcoming toast. | S157 euron |
[L877] | open | food | affc | affc-the-iron-captain-01.md:93 | Finger dance at the feast; Will Humble loses a wager and must eat his boot — the grim ironborn revel. | S157 euron |
[L878] | open | food | affc | affc-the-drowned-man-01.md:27 | Kingsmoot dawn: thralls gut fish for the captains and kings to break their fasts; men call for their first horn of ale. | S157 euron |
[L879] | open | hospitality | affc | affc-the-reaver-01.md:145 | The riotous victory feast at Lord Hewett's Town: roast ox rare and bloody, stuffed ducks, buckets of fresh crabs, captains eating off solid silver platters. | S157 euron |
[L880] | open | food | affc | affc-the-reaver-01.md:101 | Victarion drinks half a skin of sour red and pours the rest into the sea for the men who died — shipboard libation. | S157 euron |
[L881] | open | food | affc | affc-the-reaver-01.md:195 | Euron orders the Shields stripped of provisions for the eastern voyage: grain, casks of beef, sheep, goats, pigs, chickens — 'our decks will stink of pigs and chickens'. | S157 euron |
[L882] | open | food | affc | affc-the-reaver-01.md:255 | Euron offers Victarion shade-of-the-evening, the warlocks' wine: thick and oily, smelling of rotted flesh, more blue than black; Victarion spits it out. | S157 euron |
[L883] | open | food | affc | affc-the-krakens-daughter-01.md:43 | Ten Towers' cold hospitality to Asha's crew: cold beef in the kitchens and mustard 'in a big stone jar, from Oldtown'. | S157 euron |
[L884] | open | food | affc | affc-the-drowned-man-01.md:129 | Asha's kingsmoot anti-gifts (food-as-rhetoric): chests of sea-worn pebbles, pinecones, and yellow turnips — she stabs a turnip with a dirk. | S157 euron |
[L885] | open | quote | affc | affc-the-iron-captain-01.md:145 | Euron's blasphemous creed: 'Who knows more of gods than I? Horse gods and fire gods, gods made of gold with gemstone eyes... I know them all.' — euron-greyjoy ## Quotes. | S157 euron |
[L886] | open | appearance | affc | affc-the-iron-captain-01.md:141 | Euron's appearance: hair black as a midnight sea, smooth pale face, neat dark beard, a black leather patch over the left eye, the right 'blue as a summer sky'; lips bruised and blue (his 'smiling eye'). — euron-greyjoy. | S157 euron |
[L887] | open | object | affc | affc-the-iron-captain-01.md:37 | The Silence's figurehead: a black iron maiden with one arm outstretched, mother-of-pearl eyes, windblown black iron hair, and no mouth; dark red hull, black sails. — silence ## Quotes. | S157 euron |
[L888] | open | object | affc | affc-the-drowned-man-01.md:151 | Dragonbinder at the kingsmoot: shiny black and twisted, taller than a man, bound with bands of red gold and dark steel, incised with Valyrian glyphs that glow red as the sound swells. — dragonbinder ## Quotes. | S157 euron |
[L889] | open | object | affc | affc-the-drowned-man-01.md:159 | Dragonbinder's cost: a wisp of smoke rises from the horn; blood and blisters on the lips of the man who sounded it; the bird tattooed on his chest is bleeding too. — dragonbinder. | S157 euron |
[L890] | open | place | affc | affc-the-drowned-man-01.md:19 | Nagga's Hill / the Grey King's Hall on Old Wyk: four-and-forty monstrous stone ribs rise from the earth like great pale trees; nine wide steps hewn from the hilltop. — naggas-hill ## Quotes. | S157 euron |
[L891] | open | quote | affc | affc-the-prophet-01.md:169 | 'The decks of Euron's ship were painted red, to better hide the blood that soaked them.' — silence / euron-greyjoy. | S157 euron |
[L892] | open | quote | affc | affc-the-reaver-01.md:199 | Euron's Valyria claim: 'I am the storm, my lord. The first storm, and the last... I have sailed the Smoking Sea and seen Valyria.' — euron-greyjoy ## Quotes (provenance gated). | S157 euron |
[L893] | open | quote | affc | affc-the-iron-captain-01.md:83 | Baelor Blacktyde: 'Balon was mad, Aeron is madder, and Euron is maddest of them all.' — baelor-blacktyde / euron-greyjoy. | S157 euron |
[L894] | open | quote | affc | affc-the-reaver-01.md:269 | Euron: 'When the kraken weds the dragon, brother, let all the world beware.' — euron-greyjoy / euron-commissions-victarion-to-fetch-daenerys. | S157 euron |
[L895] | open | appearance | affc | affc-the-reaver-01.md:99 | The dusky woman (Euron's gift to Victarion): her tongue torn out, otherwise undamaged and beautiful, skin brown as oiled teak. — dusky-woman (identity GATED, appearance only). | S157 euron |
[L896] | open | appearance | affc | affc-the-reaver-01.md:227 | Euron at the victory feast: 'He wore the sable cloak he took from Blacktyde, his red leather eye patch, and nothing else.' — euron-greyjoy. | S157 euron |
[L897] | open | appearance | affc | affc-the-krakens-daughter-01.md:55 | Rodrik 'the Reader' Harlaw: neither fat nor slim, neither tall nor short, brown hair and eyes, short neat beard gone grey. — rodrik-harlaw. | S157 euron |
[L898] | open | appearance | affc | affc-the-iron-captain-01.md:44 | Victarion's signature warhelm: a tall black warhelm wrought as an iron kraken, its arms coiled down around his cheeks to meet beneath his jaw. — victarion-greyjoy. | S157 euron |
[L899] | open | place | affc | affc-the-reaver-01.md:63 | The Mander: 'open to us now, as it was of old' — a lazy river, wide and slow and treacherous with snags and sandbars (the ironborn raiding-road into the Reach). — mander. | S157 euron |
[L900] | open | foreshadowing | affc | affc-the-reaver-01.md:84 | Aeron's claim that sorcery swayed the kingsmoot: 'Euron is known to keep wizards and foul sorcerers on that red ship... They sent some spell among us, so we could not hear the sea.' (Euron-as-sorcerer; reading gated.) | S157 euron |
[L901] | open | foreshadowing | affc | affc-the-reaver-01.md:247 | Euron on Cragorn's death: 'The man who blew my dragon horn. When the maester cut him open, his lungs were charred as black as soot.' — Dragonbinder's blood price (FORESHADOWS the horn's cost). — cragorn / dragonbinder. | S157 euron |
[L902] | open | hospitality | affc | affc-the-reaver-01.md:167 | Euron makes Lady Hewett and her daughters/good-daughters serve the victory feast, then forces them to serve naked; Lord Hewett bound to his chair with a radish in his mouth — a grotesque inversion of guest-right. — taking-of-the-shields aftermath. | S157 euron |
